id,listing_type,street_address,city,state,zip_code,unit,floor,neighborhood,price,beds,baths,square_feet,placekey,description
1532836,20,350 West 42nd Street,NEW YORK,NY,10036,10I,\N,#Manhattan#Midtown#Midtown West#Hudson Yards#,3500,0,1,522,227@627-wbv-fs5,"Unit 10I is a bright, east-facing, spacious studio featuring whole wall floor-to-celling windows, custom closets, and hardwood floors at the luxurious premier Orion in Midtown Manhattan. This studio can easily accommodate a sleeping alcove with a king size bed and a sitting area that can be used as a home office. The Orion is a full Service building which offers 3 floors of amenities including- Valet, Concierge, maid & dry cleaning services, Onsite parking. 8200 SF Fitness room by La Palestra includes Pool, Sun deck/s, Steam and Sauna rooms. A sprawling lounge area with a screening room, business center, entertaining room- All with splendid views! The building is close to transportation (between 8th & 9th Avenues) that includes the A, C, E, 1, 2, 3, N, Q, R, S and 7 subway lines."
1621126,20,252 South Street,NEW YORK,NY,10002,23A,23,#Manhattan#Downtown#Financial District#,8600,2,2,1162,224@627-wc9-nt9,"Gorgeous 23th-floor 2-bedroom 2-bathroom apartment offers stunning views of the New York Harbor! This brand new A-Line residence at One Manhattan Square is waiting for its new residents! With large, South-West and North-West facing windows in every room, enjoy stunning sunsets and enviable views of Lower Manhattan from this premium, high-floor apartment in one of the tallest residential buildings in New York. On entering the apartment, you will immediately be greeted by breathtaking views of New York's South Harbor. To your right, an eat-in kitchen outfitted entirely with the most modern Miele appliances and an open layout plan that flows seamlessly into the living room. Down the hallway, find both bedrooms, each with their own separate bath and large, nearly full-length windows. Each bath features custom cabinetry, marble tile walls, a Wetstyle sink with glass vanity top, Dornbracht polished chrome faucets and detailing, and luxurious heated floors. A convenient in-unit washer dryer is discreetly tucked away in the hallway. This unit also features 5"" wide-stained oak flooring throughout and has an open and spacious feel. One Manhattan Square is an 80-story modern glass tower condominium located along the East River waterfront on the Lower East Side with unobstructed panoramic water and skyline views. Designed by Adamson Associates Architects, the Toronto-based firm which served as executive architects on The Shard at London Bridge, the 823-foot tower is a striking addition to the Manhattan skyline. Residents of One Manhattan Square have over 100,000 square feet of resort-like amenities designed by Meyer Davis Studio spanning across four floors with rest, relaxation, and over 1-acre of private outdoor gardens and entertainment in mind. SERVICES AND AMENITIES INCLUDE: Private motor court 24-Hour doorman and concierge White-glove services include package delivery, refrigerated storage, dry cleaning valet, and complimentary bicycle storage. Hammam with cold plunge pool 75' Saltwater indoor swimming pool and wading pool Spa treatment rooms Hot tub Sauna Full basketball court Two-lane bowling alley Squash court Golf simulator 42 seats movie theater and performance space Cellar bar and lounge Coworking space Wine storage and tasting room Cigar room Culinary lounge and demonstration kitchen Business center Game room Indoor playroom State-of-the-art weight room & cardio rooms Separate spin, yoga, Pilates and dance studios On-site parking garage available Pet spa, laundry, and alterations facilities One Acre of Private Outdoor Amenities and Gardens include: Sumac meander Birch garden Social courtyards and relaxation lawns Fire pits Outdoor grills and dining Herb garden Treehouse playground Tea pavilion Outdoor ping-pong Putting green Stargazing observatory 93' Covered dog run."
1730822,20,2 Gold Street,NEW YORK,NY,10038,12C,\N,"Financial District,#Manhattan#Downtown#Financial District#",4840,1,1,\N,228@627-wbz-rrk,"Now Accepting TheGuarantors. 
For all offers exclusions and restrictions may apply. 
Please contact our leasing office for details as pricing and incentives may change without notice. 
421a surcharges will apply. 
All imagery is for illustrative purposes only.

Lovely 1 Bed Apartment Featuring a Pass-thru Kitchen, Spacious Living Area, Ample Closet Space, and a Private Balcony with Eastern Exposure."
1541355,10,635 West 42nd Street,NEW YORK,NY,10036,40F,40,#Manhattan#Midtown#Midtown West#,1800000,2,2,1040,222@627-wbt-ndv,"Pamper yourself with luxury world-class amenities that are described as the charm of Rome, the taste of Paris, the colors of Mumbai, the tranquility of Tokyo, the vibrancy of Hong Kong, and the beauty of Moscow. The inviting lobby will instantly make you feel at home. The elevators open on the 40th floor of this glass clad tower where this 2 bedroom, 2 bathroom resides. Situated in the corner of the building, this is the highest floor Two Bedroom apartment that has outdoor space. Once inside, the breathtaking views will capture your heart with the rare opportunity to enjoy the scenery of iconic buildings and statues without ever leaving your Apartment.It is the small details in the unit that bring this Two Bedroom Two Bathroom to life. Exquisitely designed by Quadrafs, a creative company specializing in staging luxury homes, the furniture is tastefully combined from the best collections of renowned designers such as Bernhardt, Arteriors, Organic Modernism, Soho Concept, Renwil, Julian Chichester, Mr. Brown, Noir, Robert Abbey and Modloft. The unit also features Graft studio- designed finishes with ebonized maple hardwood floors.The up-scale contemporary kitchen features a stainless steel under-mount sink with a Grohe pull-out spray faucet, a Miele gas stove top and integrated Sub-Zero refrigeration, all tastefully contained within Italian white lacquer cabinetry designed by Graft. Show off your culinary skills on a beautiful Granite countertops with concealed lighting. The bathroom is also uniquely designed, spotlighting Amba Italian designed, marble throughout and Toto toilets. The The Atelier developed by award winning developers, The Moinian Group. They will win your heart and mind. So take this unparalleled opportunity to live in a 5 Star building on the far west side. You will never find another like it."
1590717,20,635 West 42nd Street,NEW YORK,NY,10036,29C,\N,"#Manhattan#Midtown#Midtown West#Hell's Kitchen#,Hell's Kitchen",4600,1,1,0,222@627-wbt-ndv,"Our Atelier Rental Office is showing 7 days a week. Feel free to walk in to the building anytime Monday-Friday 10am-630pm or Saturday and Sunday 12pm-3pm without an appointment. 

Or call us today for an immediate appointment to see our newest availability. 

Units can come furnished or unfurnished for short or long term. 

Price of unit may vary with length of term and if unit is furnished. 

The Atelier has become a Manhattan luxury landmark. We are steps away from the Hudson Rail Yards Mall and Hi Line Park. Many celebrities call Atelier their home. All of our units are one of a kind. Many units have breathtaking unobstructed double exposure city and river views from floor to ceiling windows. It has been a favorite building for many celebrities such as Hilary Duff, Nick Lachey, Vanessa Manillo, Amy Brenneman, R'Bonney Gabriel, Eric McCormack, Deborah Cox, Lindsay Lohan, Mekhi Phifer, Dania Ramirez, Paul Reubens, Jay Pharoah, Jerry Stackhouse, Taylor Hicks, Dane Cook , Brendan Frasier and Jeremy Pivan. 

 The apartments feature stainless steel Bosch (dish washer, W/D, gas stove top and microwave) and Sub Zero ($20,000 Fridge) appliances, white oak flooring , granite countertops in kitchen , marble bathrooms , washer/dryer is in every unit , walk-in closets with white oak and glass pantries. 

The building amenities - 24-hour concierge/valet, free daily breakfast, Complimentary fitness center, Ice skating rink, tennis court, basketball court, residents' multi-media lounge and billiards room on the 47th floor, valet services ( laundry and dry cleaning on site) , office center, movie theatre , fully-landscaped terraces/sundeck , building-wide wireless Internet system for common areas , on-site storage available , bike storage , pet friendly , valet parking available , Large indoor and outdoor lap swimming pools (added cost) , sauna, free bicycle usage , BBQ Grill available , private dog run, kids playroom indoor/ outdoor kids playground and a free cross town shuttle bus.. 
. 

NYC law requires 30 day min, inquires for anything less will not be responded to. PRICE IS FOR ONE YEAR . FLX 2 BED. Due to Covid we may not be able to show exact unit."
1542785,10,322 West 57th Street,NEW YORK,NY,10019,30P,30,#Manhattan#Midtown#Midtown West#,1035000,0,1,600,225@627-s4r-2hq,"Welcome home to residence 30P, a gracious alcove studio, at the renowned Sheffield Condominium. Boasting approximately 600 square feet and stunning city views from the 30th floor, this modern apartment offers luxury, comfort and convenience. Large, energy-efficient windows drench the apartment with natural light throughout the day, offering excellent southern city views. The kitchen features Calacatta marble with custom Italian cabinetry, and stainless steel appliances from Miele and Bosch. The bath features honed travertine along the walls, floors and vanity, and a deep-soaking tub. There are Nordic Ash hardwood floors and generous closets throughout.<br><br>The Sheffield Condominium is centrally located near Columbus Circle, Central Park, MOMA, Lincoln Center, Carnegie Hall, Theatre District, fine shopping and dining, and all major subway lines. The building features an impressive 24,000 square feet of amenities at no extra charge including: a 75-foot indoor rooftop swimming pool overlooking the Hudson River, newly renovated state-of-the-art fitness center, spa, sauna, steam, and treatment rooms, yoga room and playroom. There are 2 lounges fitted with WIFI, media, billiard and games for residents to enjoy. There are several outdoor decks that feature lounging chairs, barbecue grills, and panoramic views of Central Park, Hudson River and Manhattan. The welcoming staff includes 24-hour doormen and concierge services. Laundry can be found on every floor. Bike storage and a third party garage can be found below.<br><br><br><br><br>"
1553586,20,2 GOLD STREET,NEW YORK,NY,10038,2014,20,#Manhattan#Downtown#Financial District#,5595,2,1,\N,228@627-wbz-rrk,"Amazing NO FEE 2 BR apartment in FiDi. Won't last.
Reach out now to schedule a viewing.

Click below
Or call/text (646) 718-2192
Or email t.zhang@hlresidential.com"
1686050,20,350 West 42nd Street,NEW YORK,NY,10036,25I,\N,#Manhattan#Midtown#Midtown West#Hudson Yards#,3850,0,1,0,227@627-wbv-fs5,"LUXURIOUS OVER-SIZED L-SHAPE STUDIO w/ SLEEPING ALCOVE & WALLS OF OVER-SIZED WINDOWS<br><br>EMPIRE STATE BUILDING AS THE BACKDROP FROM THE 25TH FLOOR<br><br>CONDO FINISHES WITH CENTRAL AIR<br><br>BRAZILIAN WOOD DRESSING CLOSET<br><br>ALL AMENITIES ARE INCLUDED - POOL/JACUZZI FOR 12/GYM/CONFERENCE ROOM/ LOUNGES/ CINEMA -NO EXTRA FEE<br><br>THREE FULL FLOORS - 29, 30 AND 31 OF VIEWS FROM EVERY EXPOSURE AND THREE (3) OUTSIDE DECKS<br><br>THE ORION IS PIN DROP QUIET INSIDE -HELL'S KITCHEN LOCATION - THEATRE DISTRICT/MIDTOWN WEST & HUDSON YARDS- yes , yes and oh yes<br><br>AVAILABLE END OF AUGUST<br><br>STUDENTS AND GUARANTORS ARE WELCOME<br><br><br><br><br><br>"
1618164,20,252 Seventh Avenue,NEW YORK,NY,10001,PHI,20,#Manhattan#Downtown#Chelsea#,24000,4,3,2277,22b@627-s8j-9xq,"<p style""margin-bottom:0px""><strong>PH-I checks all the boxes and may have even added a few more. This duplex penthouse has 4 large bedrooms, 3 full baths (2 with skylights), two fire places located in living room and primary bedroom, 2 sprawling terraces and enviable views. The terrace on the main level measures 37 feet wide and serves an extension of the living and dinning room spaces. The second terrace faces south and is a private sun filled oasis. The bleached oak flooring, high ceilings and recently completed kitchen renovation adds to the serenity and streamlined aesthetic of this gallery-like floorplan. There is private onsite parking with direct access to the condominium. The amenities include a gym, children's playroom, conference room and very attentive staff. </strong>
<p style""margin-bottom:0px""> 
<p style""margin-bottom:0px""> 
"
1712766,20,350 WEST 50 STREET,NEW YORK,NY,10019,34E,34,#Manhattan#Midtown#Midtown West#,6500,2,2,\N,227@627-s8r-6zf,"Amazing City Skyline Views of NYC for the 34th Floor !
The unit has spectacular water views of the Hudson
Can flex living room if you want to make a 3rd bedroom

The Unit Features the Following
- 2 Bedrooms
- Fully Furnished
- 2 Bathrooms
- Large living room with great sunlight
- Doorman elevator Building
- Outdoor space
- Samsung Washer Dryer in aparmtent
- Modern Kithcen with dishwasher
- Automated Electirc Shades for each window"
